name,wri_idnr,capacity_mw,fuel,country,owner,source,latitude,longitude,coord_source
Musashi do Brasil,BRA0042731,3.2,Coal,Brazil,Musashi do Brasil Ltda.,http://sigel.aneel.gov.br/kmz.html,-7.856168,-34.900204,Brazil national data
Monte Carmo Shopping,BRA0042730,1.6,Coal,Brazil,Rec Betim SA.,http://sigel.aneel.gov.br/kmz.html,-19.940732,-44.109146,Brazil national data
Niely,BRA0042735,1.2,Coal,Brazil,Niely do Brasil Industrial Ltda.,http://sigel.aneel.gov.br/kmz.html,-22.695176,-43.455812,Brazil national data
LANGERLO 4 REPOWERING,WRI1002255,43.0,Gas,Belgium,,ELIA Belgian Grid Operator,50.934049,5.478404,CARMA data
Norsa Refrigerantes - Simões Filho,BRA0042739,1.0488,Coal,Brazil,Solar. BR Participações S.A.,http://sigel.aneel.gov.br/kmz.html,-12.832396,-38.408028,Brazil national data
Norsa Refrigerantes - Maracanaú,BRA0042738,1.8,Coal,Brazil,Solar. BR Participações S.A.,http://sigel.aneel.gov.br/kmz.html,-3.851288,-38.587202,Brazil national data
Sennar Hydroelectric Power Plant Sudan,GEODB0040400,15.0,Hydro,Sudan,National Electricity Corporation of Sudan (NEC)  (The Ministry of Irrigation and Water Resources),GEO,13.548,33.636,GEO data
Clover Bar,WRI1015771,243.0,Gas,Canada,Capital Power,Canadian Power Plant Database,53.587,-113.365,GEO data
MALANA,WRI1001282,186.0,Hydro,India,,Central Energy Agency,32.0041,77.2494,GEO data
MAITHON RB TPP,WRI1001281,1050.0,Coal,India,,Central Energy Agency,23.8,86.45,CARMA data
MANIKDOH,WRI1001286,6.0,Hydro,India,,Central Energy Agency,19.2,73.8833333,CARMA data
P. E. MARANCHON SUR,WRI1006839,12.0,Wind,Spain,IBERDROLA E.R. CASTILLA LA MANCHA  S.A,Red Eléctrica de España,41.047537,-2.204818,CARMA data
MANERI BHALI,WRI1001284,394.0,Hydro,India,,Central Energy Agency,30.7294,78.4238,GEO data
MANI DPH,WRI1001285,9.0,Hydro,India,,Central Energy Agency,13.9166667,75.5666667,CARMA data
P. E. MAGALLON 26,WRI1006834,10.8,Wind,Spain,PROYECTOS EOLICOS ARAGONESES  S.L.,Red Eléctrica de España,41.832478,-1.459792,CARMA data
P. E. MAGANA,WRI1006835,24.75,Wind,Spain,CIA. EOLICA TIERRAS ALTAS  S.A. (CETASA),Red Eléctrica de España,41.900894,-2.162687,CARMA data
MAQSOODPUR IPP,WRI1001288,90.0,Coal,India,,Central Energy Agency,27.8833333,79.9166667,CARMA data
P. E. MARANCHON I,WRI1006837,18.0,Wind,Spain,IBERDROLA E.R. DE CASTILLA LA MANCHA  SA,Red Eléctrica de España,41.047537,-2.204818,CARMA data
Chiping Haoji power station,GEODB0000557,1400.0,Coal,China,Chiping Xinyuan Aluminum,SourceWatch,36.4873847,116.3332415,SourceWatch data
P. E. LOS REVENTONES,WRI1006832,34.0,Wind,Spain,ENERGIAS RENOVABLES  DE LA REGION DE  MURCIA,Red Eléctrica de España,38.479167,-1.325,CARMA data
Estherville,USA0001137,15.6,Gas,United States of America,City of Estherville - (IA),EIA-860,43.4028,-94.8433,United States of America national data
Corning,USA0001134,6.8,Oil,United States of America,City of Corning - (IA),EIA-860,40.974,-94.7669,United States of America national data
Alto da Boa Vista,BRA0040392,2.0864,Coal,Brazil,Centrais Elétricas Matogrossenses S/A.,http://sigel.aneel.gov.br/kmz.html,-9.578719,-57.398969,Brazil national data
STV,BRA0040395,2.13,Coal,Brazil,Associação Torre de Vigia de Bíblias e Tratados,http://sigel.aneel.gov.br/kmz.html,-23.227,-47.953,Brazil national data
Grendene Fortaleza,BRA0040397,1.5,Coal,Brazil,Grendene Sobral S/A,http://sigel.aneel.gov.br/kmz.html,-3.717,-38.543,Brazil national data
Streeter Station,USA0001131,51.5,Gas,United States of America,Cedar Falls Utilities,EIA-860,42.5267,-92.4394,United States of America national data
Camaçari Muricy II,BRA0040399,143.08,Coal,Brazil,Energética Camaçari Muricy II S.A,http://sigel.aneel.gov.br/kmz.html,-12.656056,-38.299861,Brazil national data
Grendene Sobral,BRA0040398,4.5,Coal,Brazil,Grendene Sobral S/A,http://sigel.aneel.gov.br/kmz.html,-3.674,-40.239,Brazil national data
Forest City Light Plant,USA0001138,22.0,Oil,United States of America,City of Forest City- (IA),EIA-860,43.263235,-93.635383,United States of America national data
Angaback,WRI1002034,7.0,Hydro,Sweden,100% Statkraft,Statkraft,56.4833333,13.5,CARMA data
LAS SALINAS 7 GAS 1,WRI1006615,21.85,Oil,Spain,UNION ELECTRICA DE CANARIAS GENERACION  S.A.U.,Red Eléctrica de España,28.50038,-13.862719,CARMA data
PUNTA GRANDE 9  GAS 1,WRI1007833,19.6,Oil,Spain,UNION ELECTRICA DE CANARIAS GENERACION  S.A.U.,Red Eléctrica de España,28.9630174756,-13.5476875305,CARMA data
Nangarhar (Darunta) Hydroelectric Power Plant Afghanistan,GEODB0040536,11.55,Hydro,Afghanistan,Ministry of Energy and Water Afghanistan,GEO,34.4847,70.3633,GEO data
Datang Qitaihe power station,GEODB0000229,1900.0,Coal,China,Datang Heilongjiang Power Generation,SourceWatch,45.7604176,131.0533476,SourceWatch data
Burney Mountain Power,USA0054219,11.4,Waste,United States of America,Covanta Energy Americas  Inc.,EIA-860,40.909483,-121.640368,United States of America national data
Nascer do Sol,BRA0011258,3.1,Hydro,Brazil,Rio Grande Engenharia e Construções Ltda.,http://sigel.aneel.gov.br/kmz.html,-19.225738,-50.585471,Brazil national data
Baixo Verde II,BRA0011259,15.0,Hydro,Brazil,Minas PCH S.A. e ECE Empresa Comercializadora de Energia Ltda.,http://sigel.aneel.gov.br/kmz.html,-20.884444,-52.36111,Brazil national data
Pedra Mulata,BRA0011256,10.0,Hydro,Brazil,Enervix Energias do Espírito Santo Ltda.,http://sigel.aneel.gov.br/kmz.html,-20.422214,-40.537317,Brazil national data
Frei Galvão,BRA0011257,3.0,Hydro,Brazil,Pequena Central Hidrelétrica JC S/A,http://sigel.aneel.gov.br/kmz.html,-20.396803,-40.568225,Brazil national data
Santa Bárbara,BRA0011254,7.0,Hydro,Brazil,Enervix Energias do Espírito Santo Ltda.,http://sigel.aneel.gov.br/kmz.html,-20.3761,-40.56607,Brazil national data
São Lucas,BRA0011255,5.0,Hydro,Brazil,Pequena Central Hidrelétrica JC S/A,http://sigel.aneel.gov.br/kmz.html,-20.387904,-40.557104,Brazil national data
Carminatti,BRA0011252,1.35,Hydro,Brazil,Comércio de Água Mineral São Pedro Ltda.,http://sigel.aneel.gov.br/kmz.html,-25.983934,-53.613623,Brazil national data
Santa Rita,BRA0011253,7.0,Hydro,Brazil,Pequena Central Hidrelétrica JC S/A,http://sigel.aneel.gov.br/kmz.html,-20.367347,-40.585529,Brazil national data
Cachoeira Calimério,BRA0011250,3.8,Hydro,Brazil,AEL Atividade Empresarial Ltda.,http://sigel.aneel.gov.br/kmz.html,-18.699169,-48.087779,Brazil national data
Cor 151,BRA0011251,22.6,Hydro,Brazil,Unknown,http://sigel.aneel.gov.br/kmz.html,-17.282214,-48.139965,Brazil national data
Vineland Headquarters,USA0057742,1.1,Solar,United States of America,NFI Solar LLC,EIA-860,39.490271,-75.037391,United States of America national data
North Palm Springs 1A,USA0057743,2.5,Solar,United States of America,Solar Power Inc.,EIA-860,33.924167,-116.593333,United States of America national data
SPS5 Hopi,USA0057740,10.1,Solar,United States of America,SunE SPS5  LLC,EIA-860,32.345556,-104.234722,United States of America national data
Suzlon Project VIII LLC,USA0057741,4.2,Wind,United States of America,Suzlon Project VIII LLC,EIA-860,35.75,-102.28,United States of America national data
The City of Vineland at North Vineland,USA0057746,2.3,Solar,United States of America,Constellation Solar New Jersey  LLC,EIA-860,39.505034,-74.997703,United States of America national data
FedEx Field Solar Facility,USA0057747,2.0,Solar,United States of America,NRG Solar Arrowhead LLC,EIA-860,38.907778,-76.864444,United States of America national data
Laurel Hill Wind,USA0057744,69.0,Wind,United States of America,Laurel Wind Energy LLC,EIA-860,41.5323,-77.0296,United States of America national data
Glenwood Landing,USA0007869,122.0,Gas,United States of America,National Grid Generation LLC,EIA-860,40.8275,-73.6478,United States of America national data
Newhalem,USA0009842,2.3,Hydro,United States of America,City of Seattle - (WA),EIA-860,48.675944,-121.240826,United States of America national data
Grafton,USA0002811,4.0,Oil,United States of America,City of Grafton - (ND),EIA-860,48.4108,-97.4158,United States of America national data
Gordon Butte Wind LLC,USA0057748,9.6,Wind,United States of America,Gordon Butte Wind LLC,EIA-860,46.411944,-110.337777,United States of America national data
Earlville,USA0007865,1.8,Oil,United States of America,City of Earlville - (IA),EIA-860,42.4942,-91.2725,United States of America national data
Power Creek,USA0007862,6.0,Hydro,United States of America,Cordova Electric Coop  Inc,EIA-860,60.588686,-145.604539,United States of America national data
Garrison,USA0002815,614.0,Hydro,United States of America,USCE-Missouri River District,EIA-860,47.4945,-101.4115,United States of America national data
Shelbina Power #3,USA0007860,3.6,Oil,United States of America,City of Shelbina - (MO),EIA-860,39.6914,-92.0381,United States of America national data
Leland Olds,USA0002817,656.0,Coal,United States of America,Basin Electric Power Coop,EIA-860,47.280769,-101.321213,United States of America national data
MONTE QUEMADO,ARG0000341,1.2,Oil,Argentina,EDESE SA,http://datos.minem.gob.ar/api/rest/dataset/?offset=300&dataset=generacion-electrica-centrales-de-generacion-,-25.80091,-62.84095,Argentina national data
NFM Solar Power LLC,USA0058210,1.9,Solar,United States of America,FirstLight Power Resources  Inc. - MA,EIA-860,42.610833,-72.474167,United States of America national data
PAMPA DE LOS GUANACOS,ARG0000343,1.56,Oil,Argentina,EDESE SA,http://datos.minem.gob.ar/api/rest/dataset/?offset=300&dataset=generacion-electrica-centrales-de-generacion-,-26.23213,-61.83607,Argentina national data
N.ESPERANZA PRE,ARG0000342,1.6,Oil,Argentina,EMP.DIS.S.ESTERO GENERACION,http://datos.minem.gob.ar/api/rest/dataset/?offset=300&dataset=generacion-electrica-centrales-de-generacion-,-26.207194,-64.247658,Argentina national data
McMinnville,USA0055928,24.0,Oil,United States of America,McMinnville Electric System,EIA-860,35.705,-85.7439,United States of America national data
QUIMILI,ARG0000344,1.2,Oil,Argentina,EDESE SA,http://datos.minem.gob.ar/api/rest/dataset/?offset=300&dataset=generacion-electrica-centrales-de-generacion-,-27.65195,-62.41627,Argentina national data
TINTINA,ARG0000347,2.4,Oil,Argentina,EDESE SA,http://datos.minem.gob.ar/api/rest/dataset/?offset=300&dataset=generacion-electrica-centrales-de-generacion-,-27.02954,-62.70956,Argentina national data
J.R. Simplot Company,USA0058216,4.0,Waste,United States of America,J.R. Simplot Company,EIA-860,37.806944,-121.2775,United States of America national data
LA BANDA,ARG0000349,26.0,Gas,Argentina,GENERACION LA BANDA S.A.,http://datos.minem.gob.ar/api/rest/dataset/?offset=300&dataset=generacion-electrica-centrales-de-generacion-,-27.75278,-64.265545,Argentina national data
AÃATUYA,ARG0000348,30.7,Oil,Argentina,CT AÃATUYA II - SULLAIR | CT AÃATUYA - SULLAIR,http://datos.minem.gob.ar/api/rest/dataset/?offset=300&dataset=generacion-electrica-centrales-de-generacion-,-28.443055556,-62.856944444,Argentina national data
Tihonet Solar,USA0058749,1.0,Solar,United States of America,Consolidated Edison Solutions Inc,EIA-860,41.7875,-70.723333,United States of America national data
Jasper,USA0055927,1001.7,Gas,United States of America,South Carolina Electric&Gas Company,EIA-860,32.3594,-81.1242,United States of America national data
Roger Road WWTP,USA0057524,1.1,Solar,United States of America,SunE M5C Holdings LLC,EIA-860,32.2894,-111.0331,United States of America national data
Ironbridge,WRI1004886,360.0,Biomass,United Kingdom,E.On UK,UK DUKES,52.63005,-2.511999,GEO data
Inverlael,WRI1004885,3.0,Hydro,United Kingdom,RWE Innogy UK Ltd (Part of RWE Npower),UK DUKES,57.8166667,-5.05,CARMA data
GL Wind,USA0057813,5.0,Wind,United States of America,GL Wind LLC,EIA-860,43.991667,-91.877777,United States of America national data
Yaxi power station,GEODB0000177,1200.0,Coal,China,CPI Guizhou Jinyuan Group Co,SourceWatch,27.5789174,106.6551843,SourceWatch data
Makkoren,WRI1003945,4.1,Hydro,Norway,100%,Starkraft,61.22036,6.07494,CARMA data
Samalayuca II,WRI1016110,522.0,Gas,Mexico,,CFE,31.3290792364,-106.486873627,GEO data
Gilan,WRI1008139,184.0,Gas,Iran,,Iranian Power Sector 2010,37.1586,49.6329,GEO data
Fulton Hydro,USA0002566,1.3,Hydro,United States of America,Erie Boulevard Hydropower LP,EIA-860,43.32411,-76.418984,United States of America national data
Fullerton Mill CHP,USA0058083,21.0,Gas,United States of America,Kimberly-Clark Worldwide Inc,EIA-860,33.861667,-117.893056,United States of America national data
Ferdosi C.C.,WRI1008135,954.0,Gas,Iran,,Iranian Power Sector 2010,36.4481,59.4027,WRI data
Ruskin,WRI1015982,105.0,Hydro,Canada,TransAlta,Canadian Power Plant Database,49.1958,-122.4076,GEO data
Farg Darab,WRI1008133,4.0,Oil,Iran,,Iranian Power Sector 2010,28.7519444,54.5444444,CARMA data
Fajr Petroshimi,WRI1008132,585.0,Gas,Iran,,Iranian Power Sector 2010,30.453,49.086,GEO data
Naghlu Dam Hydroelectric Power Plant Afghanistan,GEODB0040534,100.0,Hydro,Afghanistan,Ministry of Energy and Water Afghanistan,GEO,34.641,69.717,GEO data
Dorood Zan Dam,WRI1008130,10.0,Hydro,Iran,,Iranian Power Sector 2010,27.0516667,53.6208333,CARMA data
Collinsville,AUS0000179,190.0,Coal,Australia,RATCH Australia,http://services.ga.gov.au/site_3/services/Electricity_Infrastructure/MapServer/WFSServer,-20.544682,147.804887,Australia national data
Callide A,AUS0000178,120.0,Coal,Australia,CS Energy,http://services.ga.gov.au/site_3/services/Electricity_Infrastructure/MapServer/WFSServer,-24.334025,150.627973,Australia national data
PLTU Tanjung Jati B,WRI1000990,1320.0,Coal,Indonesia,PT. Central Java Power,Repit's Blog,-6.446,110.7423,GEO data
ALBANISA Che Guevara VIII (Leon) IC Power Plant Nicaragua,GEODB0043606,27.2,Oil,Nicaragua,Alba de Nicaragua SA (ALBANISA),GEO,12.4702,-86.8849,GEO data
Tarong,AUS0000171,1400.0,Coal,Australia,Stanwell Corporation Ltd,http://services.ga.gov.au/site_3/services/Electricity_Infrastructure/MapServer/WFSServer,-26.782358,151.915273,Australia national data
Tarong North,AUS0000170,450.0,Coal,Australia,Tarong Energy Corporation,http://services.ga.gov.au/site_3/services/Electricity_Infrastructure/MapServer/WFSServer,-26.775763,151.914602,Australia national data
Yarwun,AUS0000173,154.0,Gas,Australia,Rio Tinto Australia - Yarwun Pty Ltd,http://services.ga.gov.au/site_3/services/Electricity_Infrastructure/MapServer/WFSServer,-23.830645,151.15193,Australia national data
Yabulu,AUS0000172,244.0,Gas,Australia,RATCH Australia,http://services.ga.gov.au/site_3/services/Electricity_Infrastructure/MapServer/WFSServer,-19.201056,146.618707,Australia national data
Victoria Sugar Mill,AUS0000175,24.0,Biomass,Australia,Sucrogen Pty ltd,http://services.ga.gov.au/site_3/services/Electricity_Infrastructure/MapServer/WFSServer,-18.650804,146.201627,Australia national data
Macknade Sugar Mill,AUS0000174,8.0,Biomass,Australia,Sucrogen (Herbert) Pty ltd,http://services.ga.gov.au/site_3/services/Electricity_Infrastructure/MapServer/WFSServer,-18.589043,146.257961,Australia national data
Callide B,AUS0000177,700.0,Coal,Australia,CS Energy,http://services.ga.gov.au/site_3/services/Electricity_Infrastructure/MapServer/WFSServer,-24.34488,150.619749,Australia national data
Callide C,AUS0000176,900.0,Coal,Australia,CS Energy,http://services.ga.gov.au/site_3/services/Electricity_Infrastructure/MapServer/WFSServer,-24.344946,150.618181,Australia national data
